City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Marsh Harbour,BS,26.5412,-77.0636,26.11,74,7,6.84,clear sky
324,Port Macquarie,AU,-31.4333,152.9167,13.27,83,42,0.7,scattered clouds
325,Marystown,CA,47.1666,-55.1483,12.7,100,36,3.13,scattered clouds
326,Surt,LY,31.2089,16.5887,26.25,34,0,5.77,clear sky
327,Santiago,CL,-33.4569,-70.6483,16.25,55,100,5.66,overcast clouds
328,Blagoyevo,RU,63.3667,47.9167,4.3,84,100,3.48,overcast clouds
329,Ajra,IN,16.1167,74.2,25.11,79,83,3.32,broken clouds
330,Makakilo City,US,21.3469,-158.0858,23.18,71,0,4.12,clear sky
331,Tarsus,TR,36.9188,34.8784,28.21,50,1,4.85,clear sky
332,Yomou,GN,7.5603,-9.2653,25.69,87,90,1.45,moderate rain
333,Mar Del Plata,AR,-38.0023,-57.5575,12.19,83,100,3.09,light rain
334,Victoria,HK,22.2855,114.1577,25.54,93,100,8.49,overcast clouds
335,Barabai,ID,-2.5833,115.3833,24.25,94,99,1.03,overcast clouds
336,Balkanabat,TM,39.5108,54.3671,35.41,9,33,4.73,scattered clouds
337,Lebanon,US,36.2081,-86.2911,17.89,85,100,4.96,light rain
338,Chau Doc,VN,10.7,105.1167,26.08,84,100,1.68,overcast clouds
339,Shaunavon,CA,49.6501,-108.4181,8.88,36,2,1.58,clear sky
340,Tigzirt,DZ,36.8886,4.1198,25.26,60,45,4.42,scattered clouds
341,Teresina,BR,-5.0892,-42.8019,27.84,69,40,4.12,scattered clouds
342,Muros,ES,42.7762,-9.0603,17.83,70,29,6.52,scattered clouds
343,Kavaratti,IN,10.5669,72.642,28.58,81,100,7.12,overcast clouds
344,Menzelinsk,RU,55.7271,53.1026,8.67,57,96,4.36,overcast clouds
345,Yulara,AU,-25.2406,130.9889,19.56,37,100,3.64,overcast clouds
346,Petit-Canal,GP,16.3784,-61.4879,30.0,100,75,4.12,broken clouds
347,Ygatimi,PY,-24.0833,-55.5,22.03,49,75,2.42,broken clouds
348,Mackay,AU,-21.15,149.2,19.82,90,51,6.38,broken clouds
